OBJECTID,facname,Public Area,Public Area (supergroup),boro,Latitude,Longitude
869,LOUIS PASTEUR PARK,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,QUEENS,40.76249326,-73.7344427
883,SERGEANT JOHNSON TRIANGLE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BRONX,40.85793422,-73.8812774
888,POPPENHUSEN,PUBLIC LIBRARIES,LIBRARIES,QUEENS,40.78624766,-73.84600899
894,LIOTTI IKEFUGI PLAYGROUND,PARKS,PARKS AND PLAZAS,STATEN ISLAND,40.63874795,-74.0838988
898,BOBBIE LEWIS JR. PLAYGROUND,PARKS,PARKS AND PLAZAS,STATEN ISLAND,40.6365637,-74.16047118
912,ISLE OF MEADOWS,PRESERVES AND CONSERVATION AREAS,PARKS AND PLAZAS,STATEN ISLAND,40.57626674,-74.20338144
918,CHRISTOPHER J. IGNERI PLAYGROUND,PARKS,PARKS AND PLAZAS,STATEN ISLAND,40.60869014,-74.11957807
919,RICHMOND TERRACE CEMETERY,CEMETERIES,PARKS AND PLAZAS,STATEN ISLAND,40.63929738,-74.12093436
924,RIVERSIDE LIBRARY,PUBLIC LIBRARIES,LIBRARIES,MANHATTAN,40.77419594,-73.9842286
927,PARK SLOPE LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.66821397,-73.9834246
928,LANGSTON HUGHES,PUBLIC LIBRARIES,LIBRARIES,QUEENS,40.75763166,-73.86813821
937,PLAZA LAFAYETTE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,MANHATTAN,40.85155082,-73.94159831
948,TALL OAK PLAYGROUND,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,QUEENS,40.74534926,-73.75789005
961,BENNINGER PLAYGROUND,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,QUEENS,40.70705652,-73.89828208
964,THOMAS PAINE PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,MANHATTAN,40.71477457,-74.00260506
981,GRAHAM TRIANGLE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BRONX,40.81068379,-73.92749907
991,STEPHEN A. SCHWARZMAN BUILDING,PUBLIC LIBRARIES,LIBRARIES,MANHATTAN,40.7534887,-73.9808774
1014,EL GALLO GARDEN,GARDENS,PARKS AND PLAZAS,MANHATTAN,40.79975289,-73.94050867
1031,DIVERSITY EDIBLE FARM,GARDENS,PARKS AND PLAZAS,MANHATTAN,40.79677233,-73.94605732
1045,MINETTA TRIANGLE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,MANHATTAN,40.72986758,-74.0018363
1047,PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,MANHATTAN,40.79699401,-73.92949908
1048,HENRY HUDSON PARK,PARKS,PARKS AND PLAZAS,BRONX,40.88132945,-73.91996278
1058,GREEN OASIS AND GILBERT'S GARDEN,GARDENS,PARKS AND PLAZAS,MANHATTAN,40.72399836,-73.97734549
1062,CENTER FOR BROOKLYN HISTORY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.69479137,-73.99241182
1070,HUMAN COMPASS GARDEN,GARDENS,PARKS AND PLAZAS,BROOKLYN,40.68489959,-74.00250016
1078,ADAM YAUCH PARK,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,BROOKLYN,40.69234057,-73.99923554
1088,FIREMEN'S MEMORIAL GARDEN,GARDENS,PARKS AND PLAZAS,MANHATTAN,40.7242604,-73.97796795
1092,BAY TERRACE,PUBLIC LIBRARIES,LIBRARIES,QUEENS,40.78252771,-73.77701333
1096,LAGUARDIA LANDING LIGHTS,UNDEVELOPED,PARKS AND PLAZAS,QUEENS,40.76545112,-73.88756485
1101,ALLIED PRODUCTIONS/LE PETIT VERSAILLES,GARDENS,PARKS AND PLAZAS,MANHATTAN,40.72113499,-73.98179009
1118,POWELL'S COVE PARK,PRESERVES AND CONSERVATION AREAS,PARKS AND PLAZAS,QUEENS,40.79005747,-73.83502763
1121,FIDELITY TRIANGLE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.72186473,-73.94185749
1123,TREMONT LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BRONX,40.84604455,-73.89834633
1128,GARDEN,GARDENS,PARKS AND PLAZAS,STATEN ISLAND,40.52690108,-74.16361518
1131,EVERGREEN PLAYGROUND,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,BROOKLYN,40.68665035,-73.91021437
1133,IDA COURT,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,STATEN ISLAND,40.53839631,-74.18713697
1137,GILBERT RAMIREZ PARK,PARKS,PARKS AND PLAZAS,BROOKLYN,40.70584654,-73.93462371
1150,HUNTS POINT LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BRONX,40.81868569,-73.89413697
